State,Facility Name,Facility ID,Unit ID,Associated Stacks,Date,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
PA,Scrubgrass Generating Plant,50974,1,,4/29/21,24,24,,6654,2.409,0.3773,1284.7,0.101,0.765,0.1197,12742.2,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,4/30/21,24,24,,7304,2.38,0.3396,1415.7,0.101,0.886,0.1259,14040.3,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/1/21,24,24,,7814,2.607,0.346,1490.7,0.101,0.86,0.1154,14782.3,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/2/21,24,24,,5717,0.957,0.1734,1091.4,0.101,0.963,0.1793,10823.7,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/3/21,24,24,,5673,1.586,0.298,1075.2,0.101,0.57,0.1078,10661.8,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/4/21,24,24,,5048,1.889,0.3953,978.6,0.101,0.474,0.0977,9704,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/5/21,10,9.33,,1860.81,0.66,0.4045,343.51,0.101,0.158,0.0925,3405.808,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/6/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/7/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/8/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/9/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/10/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/11/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/12/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/13/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/14/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/15/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/16/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/17/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/18/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/19/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/20/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/21/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/22/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/23/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/24/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
