Timestamp,difficulty
11/20/10 23:00,6866.898649
11/23/10 23:00,6866.898649
11/26/10 23:00,6866.898649
11/29/10 23:00,8078.195258
12/2/10 23:00,8078.195258
12/5/10 23:00,8078.195258
12/8/10 23:00,8078.195258
12/11/10 23:00,12251.99976
12/14/10 23:00,12251.99976
12/17/10 23:00,12251.99976
12/20/10 23:00,12251.99976
12/23/10 23:00,14484.16236
12/26/10 23:00,14484.16236
12/29/10 23:00,14484.16236
1/1/11 23:00,14484.16236
1/4/11 23:00,16307.42094
1/7/11 23:00,16307.42094
1/10/11 23:00,16307.42094
1/13/11 23:00,16307.42094
1/16/11 23:00,18437.64439
1/19/11 23:00,18437.64439
1/22/11 23:00,18437.64439
1/25/11 23:00,18437.64439
1/28/11 23:00,22012.38134
1/31/11 23:00,22012.38134
2/3/11 23:00,22012.38134
2/6/11 23:00,22012.38134
2/9/11 23:00,25997.87993
2/12/11 23:00,25997.87993
2/15/11 23:00,25997.87993
2/18/11 23:00,36459.88693
2/21/11 23:00,36459.88693
2/24/11 23:00,36459.88693
2/27/11 23:00,55589.51813
3/2/11 23:00,55589.51813
3/5/11 23:00,55589.51813
3/8/11 23:00,76192.61935
3/11/11 23:00,76192.61935
3/15/11 0:00,76192.61935
3/18/11 0:00,76192.61935
3/21/11 0:00,76192.61935
3/24/11 0:00,76192.61935
3/27/11 0:00,68977.78463
3/30/11 0:00,68977.78463
4/2/11 0:00,68977.78463
4/5/11 0:00,68977.78463
4/8/11 0:00,82345.64411
4/11/11 0:00,82345.64411
4/14/11 0:00,82345.64411
4/17/11 0:00,82345.64411
4/20/11 0:00,92347.59095
4/23/11 0:00,92347.59095
4/26/11 0:00,92347.59095
4/29/11 0:00,92347.59095
5/2/11 0:00,109670.1333
5/5/11 0:00,109670.1333
5/8/11 0:00,109670.1333
5/11/11 0:00,157416.4018
5/14/11 0:00,157416.4018
5/17/11 0:00,157416.4018
5/20/11 0:00,244112.4878
5/23/11 0:00,244112.4878
5/26/11 0:00,244112.4878
5/29/11 0:00,434877.0455
6/1/11 0:00,434877.0455
6/4/11 0:00,434877.0455
6/7/11 0:00,567269.5302
6/10/11 0:00,567269.5302
6/13/11 0:00,567269.5302
6/16/11 0:00,876954.4935
