DATE,CBBTCUSD
8/23/15,229.21
8/24/15,211.16
8/25/15,223.73
8/26/15,226.81
8/27/15,225.8
8/28/15,231.55
8/29/15,230.61
8/30/15,229.39
8/31/15,230.75
9/1/15,228.22
9/2/15,229.97
9/3/15,227.25
9/4/15,231.39
9/5/15,236.01
9/6/15,241.29
9/7/15,241.31
9/8/15,244.14
9/9/15,238.75
9/10/15,238.52
9/11/15,240.9
9/12/15,236.5
9/13/15,230.82
9/14/15,231.01
9/15/15,230.6
9/16/15,229.73
9/17/15,233.34
9/18/15,233.78
9/19/15,232.88
9/20/15,232.24
9/21/15,227.31
9/22/15,231.28
9/23/15,230.26
9/24/15,235.27
9/25/15,235.89
9/26/15,234.69
9/27/15,233.58
9/28/15,239.99
9/29/15,236.89
9/30/15,237.14
10/1/15,238.34
10/2/15,238.28
10/3/15,239.92
10/4/15,239.87
10/5/15,240.95
10/6/15,246.64
10/7/15,244
10/8/15,242.94
10/9/15,244.35
10/10/15,246.07
10/11/15,249.02
10/12/15,246.39
10/13/15,250.99
10/14/15,253.27
10/15/15,254.99
10/16/15,263.43
10/17/15,272.87
10/18/15,265
10/19/15,265.17
10/20/15,271.14
10/21/15,268.77
10/22/15,275.84
10/23/15,278.76
10/24/15,284.29
10/25/15,284.97
10/26/15,287.1
10/27/15,295.61
10/28/15,304.09
10/29/15,316.08
10/30/15,329.11
10/31/15,314.85
11/1/15,329.46
11/2/15,365.21
11/3/15,404.1
11/4/15,410
11/5/15,387.21
11/6/15,374.09
11/7/15,384.81
11/8/15,373.83
11/9/15,379.53
11/10/15,337.14
11/11/15,313.2
11/12/15,336.49
11/13/15,338.07
11/14/15,334.71
11/15/15,322.93
11/16/15,332.89
11/17/15,336.49
11/18/15,335.49
11/19/15,326.41
11/20/15,322.39
11/21/15,327
11/22/15,323.71
11/23/15,323
11/24/15,321
11/25/15,328.98
11/26/15,352.57
11/27/15,358.19
11/28/15,357.24
11/29/15,372.24
11/30/15,376.86
12/1/15,362.68
12/2/15,360
12/3/15,361.77
12/4/15,363.98
12/5/15,387.99
12/6/15,387.55
12/7/15,394.73
12/8/15,418.94
12/9/15,418.39
12/10/15,415.68
12/11/15,452.95
12/12/15,436.87
12/13/15,433.83
12/14/15,444.01
12/15/15,464.27
12/16/15,453.97
12/17/15,455.5
12/18/15,463.17
12/19/15,461.29
12/20/15,442.22
12/21/15,436.81
12/22/15,433.92
12/23/15,442.43
12/24/15,455.74
12/25/15,455.84
12/26/15,419.41
12/27/15,424.72
12/28/15,421.94
12/29/15,433.89
12/30/15,427.95
12/31/15,430.35
1/1/16,435.66
1/2/16,435.4
1/3/16,431.91
1/4/16,433.85
1/5/16,433.34
1/6/16,430.87
1/7/16,459.07
1/8/16,454.44
1/9/16,450.38
1/10/16,449.99
1/11/16,449.19
1/12/16,434.01
1/13/16,432.77
1/14/16,430.03
1/15/16,357.53
1/16/16,388.7
1/17/16,378.46
1/18/16,384.89
1/19/16,375.27
1/20/16,418.54
1/21/16,409.38
1/22/16,382.9
1/23/16,387.5
1/24/16,403.05
1/25/16,391.4
1/26/16,391.54
1/27/16,394.79
1/28/16,379.61
1/29/16,378.68
1/30/16,378.46
1/31/16,367.95
2/1/16,371.33
2/2/16,372.93
2/3/16,368.87
2/4/16,387.99
2/5/16,384.5
2/6/16,375.44
2/7/16,377.49
2/8/16,371.14
2/9/16,372.68
2/10/16,378.44
2/11/16,378.23
2/12/16,382.05
2/13/16,391
2/14/16,406.59
2/15/16,398.95
2/16/16,407.42
2/17/16,415.2
2/18/16,421.19
2/19/16,420.72
2/20/16,437.46
2/21/16,438.56
2/22/16,437.55
2/23/16,419.97
2/24/16,423.94
2/25/16,423.54
2/26/16,430.85
2/27/16,433.12
2/28/16,433.73
2/29/16,436.44
3/1/16,433.08
3/2/16,420.39
3/3/16,418.8
3/4/16,407.35
3/5/16,396.08
3/6/16,403.24
3/7/16,412.21
3/8/16,411.18
3/9/16,412.8
3/10/16,415.98
3/11/16,419.39
3/12/16,410.58
3/13/16,412.52
3/14/16,415.02
3/15/16,415.41
3/16/16,416.07
3/17/16,418.41
3/18/16,409.65
3/19/16,410.2
3/20/16,411.27
3/21/16,412
3/22/16,416.66
3/23/16,417.53
3/24/16,412.95
3/25/16,416.41
3/26/16,416.97
3/27/16,425.3
3/28/16,423
3/29/16,416.39
3/30/16,412.79
3/31/16,416.03
4/1/16,417.68
4/2/16,419.95
4/3/16,420.16
4/4/16,419.47
4/5/16,422.36
4/6/16,421.46
4/7/16,421.99
4/8/16,419.48
4/9/16,419.46
4/10/16,423.4
4/11/16,423.94
4/12/16,427.8
4/13/16,425.58
4/14/16,426.32
4/15/16,430.93
4/16/16,433.39
4/17/16,431
4/18/16,430.97
4/19/16,437.06
4/20/16,442.96
4/21/16,452.25
4/22/16,448.41
4/23/16,455.69
4/24/16,464.46
4/25/16,466.17
4/26/16,470.59
4/27/16,445.31
4/28/16,451.68
4/29/16,458.82
4/30/16,454.02
5/1/16,456.98
5/2/16,446.42
5/3/16,452.21
5/4/16,448.68
5/5/16,449.98
5/6/16,462.31
5/7/16,461.91
5/8/16,462.79
5/9/16,464.16
5/10/16,452.78
5/11/16,454.37
5/12/16,456.48
5/13/16,457.98
5/14/16,458.9
5/15/16,461.47
5/16/16,455.66
5/17/16,454.19
5/18/16,455.56
5/19/16,438.38
5/20/16,445.65
5/21/16,446.28
5/22/16,442.48
5/23/16,445.67
5/24/16,446.99
5/25/16,451.49
5/26/16,454.97
5/27/16,471.27
5/28/16,523.25
5/29/16,525.22
5/30/16,532.55
5/31/16,531.34
6/1/16,534.84
6/2/16,537.87
6/3/16,571.25
6/4/16,576.31
6/5/16,575.17
6/6/16,586.77
6/7/16,579.71
6/8/16,583.21
6/9/16,577.46
6/10/16,580.31
6/11/16,609.5
6/12/16,677.86
6/13/16,706.01
6/14/16,684.95
6/15/16,698.78
6/16/16,769.76
6/17/16,752.26
6/18/16,758.99
6/19/16,768.76
6/20/16,703.12
6/21/16,667.66
6/22/16,604.5
6/23/16,631.1
6/24/16,669.98
6/25/16,673.71
6/26/16,638.56
6/27/16,657.87
6/28/16,648.43
6/29/16,639.42
6/30/16,673.49
7/1/16,678.19
7/2/16,704.95
7/3/16,663.55
7/4/16,681.98
7/5/16,669.87
7/6/16,678.79
7/7/16,641.97
7/8/16,667.33
7/9/16,657.61
7/10/16,652.44
7/11/16,650.97
7/12/16,666.56
7/13/16,655.34
7/14/16,661.65
7/15/16,667.48
7/16/16,666.32
7/17/16,680
7/18/16,675.5
7/19/16,673.98
7/20/16,666.92
7/21/16,667.28
7/22/16,654.67
7/23/16,657.5
7/24/16,661
7/25/16,657.79
7/26/16,654.06
7/27/16,657.35
7/28/16,657.4
7/29/16,657
7/30/16,655.87
7/31/16,626.97
8/1/16,605.2
8/2/16,537.47
8/3/16,573.36
8/4/16,587.5
8/5/16,583
8/6/16,591.71
8/7/16,595.14
8/8/16,591.48
8/9/16,586.45
8/10/16,594.94
8/11/16,587.91
8/12/16,587.74
8/13/16,586.45
8/14/16,574.99
8/15/16,567.79
8/16/16,579.02
8/17/16,574.45
8/18/16,574.09
8/19/16,573.67
8/20/16,581.87
8/21/16,581.29
8/22/16,585.2
8/23/16,582.39
8/24/16,578.47
8/25/16,575.58
8/26/16,579.29
8/27/16,570.84
8/28/16,575.41
8/29/16,573.21
8/30/16,574.95
8/31/16,572.89
9/1/16,573.02
9/2/16,576.21
9/3/16,600.91
9/4/16,611.92
9/5/16,605.69
9/6/16,612.99
9/7/16,615.21
9/8/16,627.97
9/9/16,622.07
9/10/16,623.74
9/11/16,607.94
9/12/16,606.74
9/13/16,608.63
9/14/16,608.43
9/15/16,605.44
9/16/16,607.93
9/17/16,607.92
9/18/16,611.4
9/19/16,608.6
9/20/16,605.6
9/21/16,597
9/22/16,596.21
9/23/16,602.96
9/24/16,603.68
9/25/16,601.67
9/26/16,607.08
9/27/16,605.71
9/28/16,605.04
9/29/16,605.99
9/30/16,608.99
10/1/16,615.65
10/2/16,612.4
10/3/16,612.99
10/4/16,610.34
10/5/16,613.16
10/6/16,611.88
10/7/16,617.98
10/8/16,619.5
10/9/16,617.42
10/10/16,618.72
10/11/16,642.12
10/12/16,635.79
10/13/16,635.66
10/14/16,638.03
10/15/16,638.16
10/16/16,641.92
10/17/16,639.56
10/18/16,635.11
10/19/16,629.79
10/20/16,628.05
10/21/16,630.83
10/22/16,652.75
10/23/16,651.04
10/24/16,649.98
10/25/16,654.3
10/26/16,674
10/27/16,691.21
10/28/16,689.95
10/29/16,714.28
10/30/16,697.41
10/31/16,696.9
11/1/16,730.7
11/2/16,744.6
11/3/16,690
11/4/16,706.32
11/5/16,706.99
11/6/16,717.02
11/7/16,706.42
11/8/16,711.15
11/9/16,720.97
11/10/16,712.91
11/11/16,716.9
11/12/16,704.53
11/13/16,704.01
11/14/16,708.32
11/15/16,712.29
11/16/16,739.85
11/17/16,730.71
11/18/16,748.54
11/19/16,750.77
11/20/16,731.99
11/21/16,736.4
11/22/16,746.66
11/23/16,741.52
11/24/16,737.99
11/25/16,739.74
11/26/16,735.7
11/27/16,729.24
11/28/16,729.77
11/29/16,732.37
11/30/16,742.69
12/1/16,754
12/2/16,769.25
12/3/16,766.98
12/4/16,767.99
12/5/16,752
12/6/16,759.8
12/7/16,764.34
12/8/16,767.89
12/9/16,773.22
12/10/16,775.87
12/11/16,771.05
12/12/16,778.94
12/13/16,776.18
12/14/16,777.66
12/15/16,776.16
12/16/16,780.98
12/17/16,788.57
12/18/16,790.72
12/19/16,790.81
12/20/16,798.99
12/21/16,834.5
12/22/16,856.02
12/23/16,917.26
12/24/16,891.5
12/25/16,896.12
12/26/16,902.09
12/27/16,925.2
12/28/16,982.17
12/29/16,970.72
12/30/16,960.81
12/31/16,973.37
1/1/17,992.95
1/2/17,1011.45
1/3/17,1020.67
1/4/17,1130.3
1/5/17,1007
1/6/17,895.71
1/7/17,909
1/8/17,923.33
1/9/17,902.66
1/10/17,907
1/11/17,795.77
1/12/17,812.25
1/13/17,831.42
1/14/17,828
1/15/17,833.31
1/16/17,834.41
1/17/17,906
1/18/17,887.99
1/19/17,902.92
1/20/17,894.31
1/21/17,925.06
1/22/17,931.22
1/23/17,910.7
1/24/17,887
1/25/17,896
1/26/17,917.02
1/27/17,922.63
1/28/17,924.98
1/29/17,916.54
1/30/17,923.23
1/31/17,970.01
2/1/17,992.75
2/2/17,1008.38
2/3/17,1018
2/4/17,1035.54
2/5/17,1016.32
2/6/17,1022.58
2/7/17,1053.96
2/8/17,1056.7
2/9/17,994.24
2/10/17,1001.99
2/11/17,1018.65
2/12/17,1010
2/13/17,1002.82
2/14/17,1013.92
2/15/17,1014.53
2/16/17,1038.94
2/17/17,1057.3
2/18/17,1062.15
2/19/17,1059.88
2/20/17,1089.82
2/21/17,1128.29
2/22/17,1128.71
2/23/17,1186.9
2/24/17,1186.91
2/25/17,1158
2/26/17,1184.91
2/27/17,1195.81
2/28/17,1195.08
3/1/17,1230
3/2/17,1269.17
3/3/17,1292.86
3/4/17,1273.97
3/5/17,1278.98
3/6/17,1284.99
3/7/17,1237.36
3/8/17,1150.22
3/9/17,1197.3
3/10/17,1109.01
3/11/17,1188.11
3/12/17,1235.58
3/13/17,1245.49
3/14/17,1247.42
3/15/17,1263
3/16/17,1175.11
3/17/17,1069.57
3/18/17,970
3/19/17,1019.49
3/20/17,1044.96
3/21/17,1114.42
3/22/17,1034.57
3/23/17,1025.14
3/24/17,934.87
3/25/17,963.72
3/26/17,973.08
3/27/17,1042.08
3/28/17,1045.4
3/29/17,1043.27
3/30/17,1042.34
3/31/17,1088.99
4/1/17,1092
4/2/17,1113.99
4/3/17,1152.6
4/4/17,1143.99
4/5/17,1132.99
4/6/17,1192.3
4/7/17,1194
4/8/17,1184.5
4/9/17,1210.97
4/10/17,1210
4/11/17,1223.99
4/12/17,1214.17
4/13/17,1177.05
4/14/17,1173.74
4/15/17,1178.85
4/16/17,1177.99
4/17/17,1189.91
4/18/17,1201.94
4/19/17,1214.21
4/20/17,1236.15
4/21/17,1249.99
4/22/17,1247
4/23/17,1251.98
4/24/17,1257.29
4/25/17,1281.16
4/26/17,1298.44
4/27/17,1349.26
4/28/17,1353.34
4/29/17,1365.43
4/30/17,1384.55
5/1/17,1436.5
5/2/17,1471.99
5/3/17,1533
5/4/17,1563.39
5/5/17,1551.3
5/6/17,1585.39
5/7/17,1609.57
5/8/17,1713
5/9/17,1720.43
5/10/17,1794.99
5/11/17,1837.93
5/12/17,1695.61
5/13/17,1792.73
5/14/17,1799.99
5/15/17,1747.81
5/16/17,1777.48
5/17/17,1813.23
5/18/17,1899.16
5/19/17,1976.23
5/20/17,2058.91
5/21/17,2057
5/22/17,2123.29
5/23/17,2272.75
5/24/17,2432.97
5/25/17,2355
5/26/17,2272.7
5/27/17,2099.99
5/28/17,2232.78
5/29/17,2279.48
5/30/17,2191.58
5/31/17,2303.29
6/1/17,2419.99
6/2/17,2478.99
6/3/17,2548.05
6/4/17,2521.36
6/5/17,2698
6/6/17,2871.29
6/7/17,2685.64
6/8/17,2799.73
6/9/17,2811.39
6/10/17,2931.15
6/11/17,2998.98
6/12/17,2655.71
6/13/17,2709.01
6/14/17,2432.21
6/15/17,2409.98
6/16/17,2480.43
6/17/17,2634.94
6/18/17,2515.25
6/19/17,2596.98
6/20/17,2725.08
6/21/17,2643.35
6/22/17,2679.99
6/23/17,2690.76
6/24/17,2574.84
6/25/17,2505.61
6/26/17,2407.91
6/27/17,2575.75
6/28/17,2553.12
6/29/17,2530
6/30/17,2455.19
7/1/17,2423.63
7/2/17,2516.66
7/3/17,2542.41
7/4/17,2602
7/5/17,2616.96
7/6/17,2604.84
7/7/17,2501.15
7/8/17,2561.11
7/9/17,2508.99
7/10/17,2331.05
7/11/17,2310.01
7/12/17,2383.42
7/13/17,2340
7/14/17,2217.24
7/15/17,1964.31
7/16/17,1911.78
7/17/17,2235.19
7/18/17,2308.15
7/19/17,2258.99
7/20/17,2873.48
7/21/17,2657.45
7/22/17,2825.27
7/23/17,2754.28
7/24/17,2762.26
7/25/17,2564
7/26/17,2525.99
7/27/17,2664.99
7/28/17,2786.07
7/29/17,2700.21
7/30/17,2723.99
7/31/17,2856.88
8/1/17,2732.59
8/2/17,2699.9
8/3/17,2787.02
8/4/17,2857.34
8/5/17,3243.49
8/6/17,3222.22
8/7/17,3398.23
8/8/17,3422.43
8/9/17,3342.8
8/10/17,3444.98
8/11/17,3656.15
8/12/17,3874
8/13/17,4060.47
8/14/17,4320.6
8/15/17,4159.93
8/16/17,4370.01
8/17/17,4280.01
8/18/17,4101.72
8/19/17,4157.41
8/20/17,4050.99
8/21/17,4002
8/22/17,4092
8/23/17,4143.49
8/24/17,4312.03
8/25/17,4360
8/26/17,4344.32
8/27/17,4340.11
8/28/17,4384.99
8/29/17,4599
8/30/17,4581.98
8/31/17,4743.94
9/1/17,4947.99
9/2/17,4649.99
9/3/17,4626.05
9/4/17,4498.25
9/5/17,4432.51
9/6/17,4616.18
9/7/17,4624.18
9/8/17,4350
9/9/17,4334.36
9/10/17,4251.36
9/11/17,4210.72
9/12/17,4164.52
9/13/17,3855.32
9/14/17,3250.4
9/15/17,3740.02
9/16/17,3726.51
9/17/17,3719.97
9/18/17,4100
9/19/17,3910.11
9/20/17,3872.06
9/21/17,3617.47
