"State","Facility Name","Facility ID","Year","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","CO2 Mass (short tons)","NOx Mass (short tons)","Heat Input (mmBtu)"
"IN","IPL - Eagle Valley Generating Station",991,2012,350211.29,,3436.215,341675.621,556.671,3330170.853
"IN","C. C. Perry K Steam Plant",992,2012,,2326281.71,,,755.779,3529743.752
"IN","IPL - Petersburg Generating Station",994,2012,10595937.99,,15463.084,10231748.273,9292.743,99724680.175
"IN","Bailly Generating Station",995,2012,2129621.47,,1813.451,2446865.365,1510.608,23848561.514
"IN","Dean H Mitchell Generating Station",996,2012,,,,,,
"IN","Michigan City Generating Station",997,2012,2498441.79,,11584.243,2415242.555,1169.681,23028642.08
"IN","Cayuga",1001,2012,5300493.86,,3221.972,5174573.242,7567.742,50434372.282
"IN","Edwardsport Generating Station",1004,2012,197231.31,,26.501,137772.869,90.412,2067834.751
"IN","R Gallagher",1008,2012,286458.58,,925.724,291120.86,504.412,2837442.047
"IN","Wabash River Gen Station",1010,2012,1797876.34,,24024.333,1750631.576,2873.403,17062691.212
"IN","F B Culley Generating Station",1012,2012,1856465.99,,2115.985,2161126.163,1384.196,21276064.96
"IN","Whitewater Valley",1040,2012,30060.79,,573.093,35187.854,52.953,342959.928
"IN","Frank E Ratts",1043,2012,521781.93,,6682.087,544424.474,547.793,5306288.483
"IA","Lansing",1047,2012,1241001.41,,4477.283,1389770.01,948.742,13251043.275
"IA","Milton L Kapp",1048,2012,610467.15,,2205.95,690517.871,408.876,6583908.369
"IA","Prairie Creek",1073,2012,,5712545.8,2614.793,928503.455,1399.965,8946919.007
"IA","Sutherland",1077,2012,,2091818.63,1769.46,288754.802,467.321,3264420.102
"IA","Riverside (1081)",1081,2012,663012.3,,2373.818,672879.033,740.371,6434091.882
"IA","Walter Scott Jr. Energy Center",1082,2012,12329624,,14073.312,11788936.6,7816.619,112420791.625
"IA","George Neal North",1091,2012,4491477.25,,9787.925,4631956.775,5798.746,44225717.5
"IA","Burlington (IA)",1104,2012,1250978.05,,4697.076,1464969.997,1034.89,13973963.211
"IA","Ames",1122,2012,361097,,820.549,474584.775,652.325,4525046.3
"IA","Streeter Station",1131,2012,11929.45,,63.859,16181.095,59.32,171708.606
"IA","Muscatine",1167,2012,977664.61,,1923.102,1252907.429,2506.745,11946127.564
"IA","Pella",1175,2012,,244877.83,108.28,33800.151,71.917,322276.241
"IA","Earl F Wisdom",1217,2012,5080.13,,64.099,6513.114,18.873,63476.673
"IA","Fair Station",1218,2012,87896.59,,1366.199,115621.712,245.733,1126912.074
"KS","Riverton",1239,2012,115377.75,,946.563,140286.601,215.815,1371556.722
"KS","La Cygne",1241,2012,9262519.47,,16234.817,9575102.408,9659.364,91295758.506
"KS","Lawrence Energy Center",1250,2012,3306943.22,,2034.953,3490925.043,3526.075,33298111.166
"KS","Tecumseh Energy Center",1252,2012,1330063.49,,3978.575,1423644.774,1659.397,13605209.538
"KS","Quindaro",1295,2012,985690.22,,2757.542,1079680.68,2887.956,10418202.155
"KY","Big Sandy",1353,2012,2796220.1,,19699.108,2713315.983,2065.515,25870691.423
"KY","E W Brown",1355,2012,2685991.28,,1631.331,2907450.793,5327.181,28337741.707
"KY","Ghent",1356,2012,13441331.81,,10772.178,12465663.824,8159.349,121497734.352
"KY","Green River",1357,2012,975396.47,,18989.665,1007843.241,2066.499,9823095.206
"KY","Tyrone",1361,2012,,,,,,
"KY","Cane Run",1363,2012,2953110.11,,6127.256,2928367.719,4736.687,28541637.264
"KY","Mill Creek",1364,2012,9292542.57,,30499.067,8794353.027,7218.901,85714938.011
"KY","Elmer Smith",1374,2012,2688490.3,,4957.687,2835758.836,4258.141,27571453.625
"KY","Paradise",1378,2012,15967981.44,,28025.557,16369416.613,10197.547,159546029.303
"KY","Shawnee",1379,2012,7605134.7,,27114.87,7822681.164,13064.852,75577883.66
"KY","Coleman",1381,2012,3394859.75,,5057.513,3644184.261,6119.637,35518406.05
"KY","HMP and L Station 2",1382,2012,2227050.5,,3714.375,2269602.3,855.452,22120894.275
"KY","Robert Reid",1383,2012,28121,,805.037,34413.5,68.043,335413.3
"KY","John S. Cooper",1384,2012,1587365.78,,7428.196,1418126.167,1657.074,13821870.347
"KY","William C. Dale",1385,2012,265033.91,,1758.07,271248.701,476.626,2643808.385
"LA","R S Nelson",1393,2012,3318912.65,,12507.346,3887421.566,2919.199,35707043.633
"MD","C P Crane",1552,2012,792002.46,,2173.214,944062.864,1817.019,9001342.947
